"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.768374999E-2,-8.860205412E-1,-7.062703967E-1,-3.159516752E-1,1.176297468E0
2.765075001E-2,-7.689431906E-1,6.666548550E-2,-4.523110986E-1,8.945966953E-1
3.761775000E-2,-6.945512295E-1,7.706945539E-1,-5.934630036E-1,1.195227946E0
4.758474999E-2,-6.763266921E-1,1.284963965E0,-7.003833055E-1,1.612168404E0
5.755174998E-2,-6.405928731E-1,1.517398596E0,-6.517278552E-1,1.771329141E0
6.751875000E-2,-5.414791107E-1,1.494089365E0,-4.116353691E-1,1.641629171E0
7.748574999E-2,-4.190702140E-1,1.314319849E0,-2.067789435E-1,1.394924386E0
8.745274998E-2,-2.910198271E-1,9.976473451E-1,2.862452157E-2,1.039621146E0
9.742074998E-2,-1.198072955E-1,5.661852360E-1,2.618872225E-1,6.352199830E-1
1.073877500E-1,3.207837418E-2,9.604942054E-2,2.696870863E-1,2.880722788E-1
1.173547500E-1,1.357259750E-1,-2.216421664E-1,3.567102598E-3,2.599221315E-1
1.273217500E-1,1.554874331E-1,-1.850977391E-1,-3.697558939E-1,4.417657026E-1
1.372887500E-1,1.221057028E-1,1.037364304E-1,-5.134981275E-1,5.379139118E-1
1.472557500E-1,9.623203427E-2,4.350450933E-1,-3.999739885E-1,5.987520598E-1
1.572227500E-1,4.477635399E-2,6.856116652E-1,-1.770985276E-1,7.095295384E-1
1.671897500E-1,1.530554798E-2,7.748800516E-1,-7.104372978E-2,7.782805187E-1
1.771577500E-1,2.430042811E-2,7.203013897E-1,-8.149287105E-2,7.253038610E-1
1.871247500E-1,3.446917608E-2,5.965285897E-1,-1.197206900E-1,6.093993158E-1
1.970917500E-1,3.102374822E-2,4.551529288E-1,-1.167484298E-1,4.709106682E-1
2.070587500E-1,1.204845961E-2,3.183524907E-1,-5.434018001E-2,3.231815726E-1
2.170257500E-1,-6.630696356E-3,1.781672537E-1,5.223305430E-3,1.783670916E-1
2.269927500E-1,-3.741684183E-2,3.689134866E-2,2.270882390E-2,5.724231251E-2
2.369597500E-1,-8.785215020E-2,-6.511291862E-2,4.341424908E-3,1.094373813E-1
2.469277500E-1,-1.623309106E-1,-8.683286607E-2,-1.734602824E-2,1.849112107E-1
2.568947500E-1,-2.416094840E-1,-2.482980117E-2,-4.310042411E-2,2.466765257E-1
2.668617500E-1,-3.110756278E-1,8.472731709E-2,-6.156305224E-2,3.282328044E-1
2.768287500E-1,-3.661345243E-1,2.152899951E-1,-5.449331179E-2,4.282216633E-1
2.867957500E-1,-4.169414937E-1,3.099105358E-1,-4.732514545E-2,5.216554599E-1
2.967627500E-1,-4.802506566E-1,3.526597321E-1,-4.137919843E-2,5.972619341E-1
3.067297500E-1,-5.476493835E-1,3.511356115E-1,-1.886856183E-2,6.508241603E-1
3.166967500E-1,-6.090320945E-1,3.163941205E-1,2.331364155E-2,6.867087137E-1
3.266637500E-1,-6.397881508E-1,2.449377924E-1,9.088949114E-2,6.910747424E-1
3.366317500E-1,-6.265728474E-1,1.376165599E-1,1.760095209E-1,6.652151547E-1
3.465987500E-1,-5.734616518E-1,1.315879822E-2,2.787603736E-1,6.377607435E-1
3.565657500E-1,-4.884763062E-1,-1.170411184E-1,3.768997788E-1,6.279818217E-1
3.665327500E-1,-3.716410398E-1,-2.513022721E-1,4.529532790E-1,6.375237779E-1
3.764997500E-1,-2.128419876E-1,-3.591203392E-1,5.032546520E-1,6.538611278E-1
3.864667500E-1,-7.122111507E-3,-3.725136518E-1,5.182823539E-1,6.383053686E-1
3.964337500E-1,2.236110866E-1,-2.672395110E-1,4.896144867E-1,6.009502641E-1
4.064007500E-1,4.480412900E-1,-8.259107918E-2,4.394890070E-1,6.330188553E-1
4.163687500E-1,6.349531412E-1,9.320567548E-2,3.998694420E-1,7.561404368E-1
4.263357500E-1,7.665814757E-1,2.172527909E-1,3.957655132E-1,8.896495240E-1
4.363027500E-1,8.427327871E-1,2.914449573E-1,3.794223666E-1,9.690717445E-1
4.462697500E-1,8.489115834E-1,3.699432313E-1,3.297490776E-1,9.829767673E-1
4.562367500E-1,8.196478486E-1,4.894998968E-1,2.624038458E-1,9.900952090E-1
4.662037500E-1,7.679471374E-1,6.711149812E-1,2.011453062E-1,1.039517945E0
4.761707500E-1,7.165533900E-1,8.740737438E-1,1.356673241E-1,1.138358157E0
4.861377500E-1,6.557998061E-1,1.044435143E0,6.458435953E-2,1.234945057E0
4.961047500E-1,5.917153358E-1,1.150936842E0,-9.648660198E-3,1.294169908E0
5.060727500E-1,5.272101164E-1,1.211691856E0,-6.223516911E-2,1.322883547E0
5.160397500E-1,4.582206905E-1,1.212538242E0,-1.033969522E-1,1.300348461E0
5.260067500E-1,3.945961893E-1,1.116264939E0,-1.347213238E-1,1.191596997E0
5.359737500E-1,3.270474970E-1,8.962402940E-1,-1.619041860E-1,9.676878088E-1
5.459407500E-1,2.711778283E-1,6.123604178E-1,-1.448213309E-1,6.851977188E-1
5.559077500E-1,2.199461311E-1,3.321360946E-1,-8.821879327E-2,4.080113251E-1
5.658747500E-1,1.785262525E-1,1.295513064E-1,-2.262007259E-2,2.217359499E-1
5.758417500E-1,1.293418556E-1,9.631862491E-2,5.431600660E-2,1.701670406E-1
5.858087500E-1,9.322753549E-2,1.839917600E-1,1.167399734E-1,2.370075157E-1
5.957767500E-1,7.718838751E-2,3.293884993E-1,1.787585765E-1,3.826348903E-1
6.057437500E-1,9.495167434E-2,4.402188659E-1,2.514516711E-1,5.157871782E-1
6.157107500E-1,1.343320161E-1,4.576649070E-1,3.233831823E-1,5.762629089E-1
6.256777500E-1,1.660779566E-1,3.891628087E-1,3.951817453E-1,5.789630309E-1
6.356447500E-1,1.770115495E-1,2.644799352E-1,4.862872064E-1,5.811694864E-1
6.456117500E-1,1.587896645E-1,1.208101138E-1,5.782293677E-1,6.116849212E-1
6.555787500E-1,1.152388901E-1,-1.393954270E-2,6.504294276E-1,6.607062531E-1
6.655457500E-1,6.120042875E-2,-1.214859784E-1,6.806544662E-1,6.941144270E-1
6.755127500E-1,1.393781044E-2,-1.973583102E-1,6.817637682E-1,7.098918233E-1
6.854807500E-1,-1.704274304E-2,-2.389531583E-1,6.539241672E-1,6.964236378E-1
6.954477500E-1,-2.692073211E-2,-2.033170164E-1,6.435788274E-1,6.754674248E-1
7.054147500E-1,4.511760082E-3,-5.351872742E-2,6.449159980E-1,6.471485568E-1
7.153817500E-1,5.234594271E-2,1.960273832E-1,6.422804594E-1,6.735658997E-1
7.253487500E-1,6.747749448E-2,4.364541173E-1,6.418226957E-1,7.790903552E-1
7.353157500E-1,4.312244430E-2,5.843126774E-1,6.333276033E-1,8.627773197E-1
7.452827500E-1,-3.228807589E-3,6.357079148E-1,6.315017343E-1,8.960632894E-1
7.552497500E-1,-4.706405476E-2,5.862076283E-1,6.308628917E-1,8.624629828E-1
7.652177500E-1,-6.959812343E-2,5.041868091E-1,6.253743768E-1,8.063134306E-1
7.751847500E-1,-4.727852717E-2,4.208529592E-1,6.072713137E-1,7.403586433E-1
7.851516250E-1,3.377052024E-2,4.007295966E-1,5.584648848E-1,6.881916050E-1
7.951186250E-1,1.726889610E-1,4.170579016E-1,4.473113120E-1,6.354889302E-1
8.050856250E-1,3.123142421E-1,3.460127413E-1,2.467683405E-1,5.274083966E-1
8.150526250E-1,3.816519380E-1,-3.143559443E-3,-3.985753655E-2,3.837404161E-1
8.250196250E-1,2.356936336E-1,-6.400970817E-1,-3.184260428E-1,7.527754696E-1
8.349866250E-1,-1.208122447E-1,-1.077832103E0,-4.678521752E-1,1.181187241E0
8.449536250E-1,-5.759525895E-1,-1.077941298E0,-6.020960212E-1,1.362423740E0
8.549216250E-1,-1.055095911E0,-8.564397693E-1,-7.932183743E-1,1.573503050E0
8.648886250E-1,-1.478732586E0,-6.710217595E-1,-1.022844434E0,1.919148509E0
8.748556250E-1,-1.830155015E0,-5.784915686E-1,-1.299429536E0,2.317894949E0
8.848226250E-1,-2.107328653E0,-5.153437853E-1,-1.586698055E0,2.687754451E0
8.947896250E-1,-2.311314344E0,-4.057975411E-1,-1.840747595E0,2.982481744E0
9.047566250E-1,-2.438947201E0,-2.366215736E-1,-2.041440010E0,3.189346411E0
9.147236250E-1,-2.488739014E0,-5.065426975E-2,-2.191685438E0,3.316605613E0
9.246906250E-1,-2.527266741E0,1.206149459E-1,-2.346510887E0,3.450759118E0
9.346576250E-1,-2.586210251E0,2.503748238E-1,-2.513956785E0,3.615404505E0
9.446256250E-1,-2.629953623E0,3.012353480E-1,-2.682266235E0,3.768547592E0
9.545926250E-1,-2.607943296E0,3.161723316E-1,-2.846703291E0,3.873635606E0
9.645596250E-1,-2.519369364E0,3.218709528E-1,-2.973454952E0,3.910531582E0
9.745266250E-1,-2.369083405E0,3.119703531E-1,-3.027553797E0,3.856937084E0
9.844936250E-1,-2.157700300E0,2.385110557E-1,-2.951479912E0,3.663849312E0
9.944606250E-1,-1.937377095E0,1.949749738E-1,-2.764055252E0,3.381042248E0
1.004427625E0,-1.742168427E0,2.203919142E-1,-2.507676363E0,3.061399053E0
1.014394625E0,-1.573498845E0,3.165936768E-1,-2.229137421E0,2.746849798E0
1.024361625E0,-1.391114950E0,3.785132170E-1,-1.905178666E0,2.389179527E0
1.034329625E0,-1.087970614E0,2.107083499E-1,-1.613009572E0,1.957007396E0
1.044296625E0,-6.984487176E-1,-1.359060556E-1,-1.352179527E0,1.527969418E0
1.054263625E0,-3.635704219E-1,-4.141456783E-1,-1.197457194E0,1.318182016E0
1.064230625E0,-2.131915689E-1,-4.633065760E-1,-1.216419697E0,1.319007395E0
1.074197625E0,-2.488211691E-1,-2.994216979E-1,-1.352804780E0,1.407709523E0
1.084164625E0,-4.066235721E-1,2.063594013E-2,-1.531403065E0,1.584602132E0
1.094131625E0,-5.626112819E-1,2.784803212E-1,-1.692132354E0,1.804825378E0
1.104098625E0,-5.647008419E-1,3.285666704E-1,-1.742989898E0,1.861412604E0
1.114065625E0,-3.906160295E-1,2.009748966E-1,-1.692886829E0,1.748953289E0
1.124033625E0,-1.027877107E-1,-1.113635525E-1,-1.635439754E0,1.642446450E0
1.134000625E0,2.148131281E-1,-5.285184979E-1,-1.588452101E0,1.687796362E0
1.143967625E0,4.578870237E-1,-8.792430162E-1,-1.532901049E0,1.825517579E0
1.153934625E0,6.015731096E-1,-1.120268822E0,-1.425269365E0,1.910048482E0
1.163901625E0,6.925847530E-1,-1.291555643E0,-1.284255028E0,1.948615046E0
1.173868625E0,7.569020987E-1,-1.419213176E0,-1.133697510E0,1.967825416E0
1.183835625E0,7.955091596E-1,-1.492710829E0,-9.741235971E-1,1.951906049E0
1.193802625E0,8.301186562E-1,-1.481168747E0,-8.208186626E-1,1.885921822E0
1.203769625E0,8.522108793E-1,-1.380689740E0,-6.701167822E-1,1.755455509E0
1.213737625E0,8.568754792E-1,-1.197251320E0,-5.011449456E-1,1.555246786E0
1.223704625E0,8.342593908E-1,-9.394117594E-1,-3.032036424E-1,1.292445602E0
1.233671625E0,7.940047383E-1,-6.466681361E-1,-9.066735208E-2,1.028029071E0
1.243638625E0,7.558259368E-1,-3.642324507E-1,1.077850163E-1,8.459052752E-1
1.253605625E0,7.521765232E-1,-1.106291115E-1,3.048092723E-1,8.190952416E-1
1.263572625E0,7.797037363E-1,1.240449101E-1,5.216920376E-1,9.463020861E-1
1.273539625E0,8.329588771E-1,3.713664114E-1,7.723088264E-1,1.195070887E0
1.283506625E0,9.113109708E-1,6.281947494E-1,1.041629434E0,1.519904012E0
1.293473625E0,1.008810401E0,8.616736531E-1,1.331677198E0,1.879772345E0
1.303441625E0,1.127672911E0,9.985787272E-1,1.618938327E0,2.211281749E0
