Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.011660667,2.613112688,1.578969717,4.521229267,5.455549227
0.021628667,2.148310423,1.234295368,3.640527964,4.403653776
0.031596667,1.742180228,0.998314023,2.906153679,3.532357859
0.041564667,1.405859828,0.911095202,2.301537037,2.84668387
0.051532667,1.156822205,0.963264644,1.807922006,2.352593965
0.061500667,1.003130674,0.899681926,1.373151541,1.923861708
0.071469667,1.135958791,1.550757527,0.199999988,1.932679818
0.081437667,1.224858761,1.697598577,-1.139132619,2.383221147
0.091405667,1.133926272,1.406280518,-2.438437223,3.034697642
0.101373667,0.901896954,1.040112615,-3.450116158,3.714640476
0.111341667,0.577519178,0.359634668,-4.39063549,4.443033368
0.121309667,0.497200131,-0.059901107,-5.260074615,5.283860433
0.131277667,0.409379303,-0.061010282,-5.813073635,5.827790212
0.141245667,0.000600873,0.896407008,-5.549266338,5.621201187
0.151213667,-0.834181011,1.15889895,-4.81870079,5.02581158
0.161181667,-1.712793469,1.261060476,-3.926627398,4.465684462
0.171149667,-2.115024328,1.713978052,-3.16577816,4.175308376
0.181117667,-2.05349803,2.300287962,-2.60757637,4.03827109
0.191085667,-1.754336119,2.749581575,-2.187690735,3.927325401
0.201053667,-1.420511007,2.980455399,-1.881377697,3.800072097
0.211022667,-1.12276125,2.988850594,-1.831103444,3.680592414
0.220990667,-0.831768513,2.945117712,-1.979020119,3.644458509
0.230958667,-0.633992374,2.746392488,-2.122612,3.528469885
0.240926667,-0.558507979,2.42266655,-2.198073864,3.318549847
0.250894667,-0.582416296,2.115986824,-2.305722475,3.183231866
0.260862417,-0.74402988,1.576858401,-2.554316044,3.092667672
0.270830417,-1.223122716,0.354504794,-2.784204483,3.0616168
0.280798417,-1.759468079,-0.923761964,-2.934429407,3.544000569
0.290766417,-2.192109346,-2.108063221,-3.012855053,4.280954274
0.300734417,-2.274682283,-3.460577726,-2.23151803,4.70419498
0.310702417,-1.826458931,-5.526596069,-1.022102118,5.909645428
0.320670417,-0.987072408,-7.889837265,0.270954937,7.955957553
0.330638417,-0.108580649,-9.393415451,1.545642853,9.520349543
0.340606417,0.543783844,-9.81590271,3.323631048,10.37758017
0.350574417,1.241170526,-7.491344452,4.872963428,9.022556098
0.360542417,2.17373848,-2.653346062,5.090632439,6.138397423
0.370511417,2.671797991,0.262378812,4.58861208,5.316268236
0.380479417,2.160386086,0.806937456,3.353716612,4.070114398
0.390447417,1.062259912,-0.514528215,2.147976875,2.450905968
0.400415417,0.403421521,-1.269219875,1.33560276,1.88613434
0.410383417,0.018724058,-0.467451841,0.835641682,0.9576841
0.420351417,-0.562046409,-0.173532054,0.847709537,1.031804728
0.430319417,-0.934262455,-0.315130264,1.34237206,1.66556782
0.440287417,-0.942708135,-0.260908037,1.714287758,1.973715822
0.450255417,-1.257530808,-0.244734824,1.747272611,2.166619589
0.460223417,-1.506979227,-0.061127711,1.772378683,2.32724068
0.470191417,-1.400013924,0.188299671,1.746565342,2.246327279
0.480159417,-1.046277046,0.507268846,1.613758326,1.989028223
0.490127417,-0.49482125,1.359831452,1.329832792,1.965310384
0.500095417,0.09994144,2.412008286,1.085370064,2.646847263
0.510063417,0.626562476,3.318116426,0.968171,3.512809736
0.520031417,0.972602963,3.833392382,1.113544583,4.10862936
0.530000417,1.19823575,3.821999311,1.331910968,4.2210703
0.539968417,1.413787246,3.380130053,1.262235522,3.875217679
0.549936417,1.581511259,2.842921495,0.830871642,3.357637291
0.559904417,1.563829422,2.552347422,0.306645393,3.008998375
0.569872417,1.495972872,2.372404575,-0.101123378,2.806503918
0.579840417,1.547484279,2.33669591,-0.334820837,2.822580443
0.589808417,1.772765398,2.511997461,-0.460699588,3.108869974
0.599776417,2.076040983,2.763025284,-0.51922816,3.494832294
0.609744417,2.417368412,2.934577227,-0.530418515,3.838848439
0.619712417,2.74889493,2.909246445,-0.446225554,4.027313677
0.629680417,3.041853666,2.743458986,-0.337095886,4.11011856
0.639648417,3.243638754,2.362312078,-0.236807629,4.019675183
0.649616417,3.276744127,1.426801085,-0.228076264,3.581177487
0.659584417,3.294747114,0.066906348,-0.319414437,3.310870065
0.669552417,3.050622463,-0.437973648,-0.190747291,3.087799031
0.679521417,1.825729489,0.140247345,0.458684772,1.887683556
0.689489417,0.172806323,0.827929199,1.126468539,1.408637694
0.699457417,-0.493050247,0.902757645,1.578173399,1.883799668
0.709425417,-0.743580341,0.570608258,1.84278059,2.067449107
0.719393417,-0.89400208,0.081377305,1.982997894,2.176727506
0.729361417,-0.956301093,-0.505207658,1.948639274,2.22866363
0.739329417,-0.93911624,-0.997267663,1.777708888,2.244266249
0.749297417,-0.941261172,-1.572103024,1.535463929,2.390633805
0.759265417,-1.046369195,-2.30854845,1.41237247,2.90156517
0.769233417,-1.102818608,-2.87427187,1.454553843,3.404904484
0.779201417,-0.481430948,-2.490581512,1.704602003,3.056213346
0.789169417,-0.05338458,-0.299763858,1.731465459,1.758033253
0.799137417,-0.592657626,2.18323946,1.09373796,2.512775423
0.809105417,-1.75639236,3.754986763,-0.096142597,4.146574865
0.819073417,-2.704797745,4.140505791,-1.339424491,5.123843968
0.829041417,-3.120281219,3.621320248,-2.254957914,5.28535244
0.839010417,-3.26530695,2.798936605,-2.751898289,5.105802561
0.848978417,-3.362851143,2.023964167,-2.969548464,4.921729049
0.858946417,-3.363226414,1.22328794,-2.982486248,4.658642454
0.868914417,-3.224497557,0.374916911,-2.929892302,4.372895618
0.878882417,-2.910350323,-0.500222564,-2.964774132,4.184524736
0.888850417,-2.392145872,-1.650302649,-3.007691383,4.182351989
0.898818417,-2.463784218,-2.274819613,-2.86563921,4.411000456
0.908786417,-2.890880823,-2.13038373,-2.548269033,4.40333985
0.918754417,-2.941712856,-1.641667128,-2.143495321,3.992908424
0.928722417,-2.202239275,-1.178107142,-1.771340132,3.06193405
0.938690417,-1.17634511,-0.549898684,-1.635943174,2.088656614
0.948658417,-0.296754807,0.161984757,-1.60965848,1.644780502
0.958626417,0.420338333,0.80238688,-1.621780872,1.8576012
0.968594417,0.973611534,1.292023659,-1.619949341,2.289427968
0.978563417,1.374958754,1.624318242,-1.581977725,2.651711683
0.988531417,1.60724318,1.72979784,-1.571735263,2.836508936
0.998499417,1.721333981,1.605076432,-1.619597077,2.856983675
1.008467417,1.759605765,1.453727007,-1.628800154,2.804019365
1.018435417,1.95896399,1.081806421,-1.470062971,2.677485796
1.028403417,2.025694609,0.444358885,-1.203047991,2.397544147
1.038371417,1.126354814,0.094894379,-1.175011635,1.630439343
1.048339417,0.369972259,-0.326103449,-1.159296513,1.259837821
1.058307417,0.052636646,-0.920395613,-1.091317177,1.428590872
1.068275417,-0.042481683,-1.374717116,-1.115464091,1.770850638
1.078243417,-0.034609646,-1.492699385,-1.284831047,1.969807123
1.088211417,-0.048981179,-1.211445689,-1.454734564,1.893740337
1.098179417,-0.119621791,-0.781744957,-1.46114099,1.661435387
1.108148417,-0.170219719,-0.58948344,-1.329097509,1.463887177
1.118116417,-0.181611657,-0.674056649,-1.159455776,1.35339309
1.128084417,-0.191859305,-0.865039647,-1.002043843,1.337608107
1.138052417,-0.174864352,-0.979229093,-0.801509619,1.277452475
1.148020417,-0.198699176,-0.973717153,-0.518632531,1.120975539
1.157988417,-0.322431237,-0.917050958,-0.183323011,0.989217715
1.167956417,-0.415181667,-0.965495527,0.152252436,1.061950203
1.177924417,-0.234600961,-1.105004191,0.431583673,1.209270996
1.187892417,0.255159408,-1.135400176,0.669934928,1.342777976
1.197860417,0.824862003,-0.961262941,0.844158947,1.522178733
1.207828417,1.258142948,-0.690039158,0.957437336,1.725040281
1.217796417,1.477513313,-0.505843461,1.046612382,1.879978903
1.227764417,1.498340607,-0.487587333,1.138891697,1.944181133
1.237732417,1.361890554,-0.598223567,1.307581902,1.980501893
1.247701417,1.04391408,-0.737425029,1.474378109,1.951241422
1.257669792,0.526873887,-0.861533403,1.490689516,1.800553007
1.267637792,-0.014925369,-0.708689928,1.338993788,1.515047374
1.277605792,-0.19439739,-0.013974035,0.866893351,0.88853233
1.287573792,0.099595398,0.605559051,0.231053054,0.655748825
1.297541792,0.532396913,0.750606,-0.237719759,0.950455956
1.307509792,0.837276101,0.908860147,-0.330861747,1.279268358
1.317477792,1.014476418,1.549322844,-0.288104713,1.874184623
1.327445792,0.965097964,2.669869423,-0.152804822,2.843055773
1.337413792,0.866116226,3.848527193,0.034447089,3.944934153
1.347381792,0.93926698,4.14234972,0.280451447,4.256751893
1.357349792,1.088700175,3.03918767,0.504785717,3.26752787
1.367318792,0.812503994,1.153331757,0.547137499,1.513174254
