"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.679462500E-2,7.652596235E-1,-2.329462767E0,-3.514898121E-1,2.477007097E0
2.676162499E-2,1.549738765E0,-2.895581007E0,-3.002015948E-1,3.297908520E0
3.672862498E-2,2.123606920E0,-2.773152351E0,-2.217578143E-1,3.499893833E0
4.669662498E-2,2.239910603E0,-2.172608614E0,-8.831151761E-3,3.120497666E0
5.666362500E-2,1.989263773E0,-1.824378014E0,3.062680364E-1,2.716491415E0
6.663162500E-2,1.496487617E0,-1.764452934E0,7.530964017E-1,2.433089299E0
7.659862499E-2,6.962937117E-1,-1.441277146E0,1.324841499E0,2.077813693E0
8.656562498E-2,3.805176616E-1,-2.382192016E-1,1.239677906E0,1.318462510E0
9.653362501E-2,6.949144006E-1,6.648433805E-1,7.346443534E-1,1.210216952E0
1.065006250E-1,1.218077183E0,1.215646863E0,6.105708480E-1,1.826008236E0
1.164686250E-1,1.612577796E0,1.590041041E0,7.316001654E-1,2.379890011E0
1.264356250E-1,1.832117558E0,1.728021502E0,7.404533029E-1,2.625068409E0
1.364026250E-1,1.849992990E0,1.712478995E0,8.144299984E-1,2.649217733E0
1.463706250E-1,1.669061780E0,1.511338592E0,8.969610929E-1,2.423726628E0
1.563376250E-1,1.381102681E0,1.155782819E0,9.570468664E-1,2.039415908E0
1.663046250E-1,1.095160961E0,6.915299296E-1,1.103148937E0,1.701331465E0
1.762726250E-1,8.546336889E-1,5.477125943E-2,1.365007639E0,1.611410713E0
1.862396250E-1,7.317972183E-1,-2.414167374E-1,1.656120896E0,1.826621371E0
1.962076250E-1,7.347584963E-1,-1.696814746E-1,1.760922432E0,1.915596425E0
2.061746250E-1,8.644906282E-1,6.864320487E-2,1.717087626E0,1.923654297E0
2.161416250E-1,9.319950938E-1,1.158762444E-2,1.864311099E0,2.084323632E0
2.261096250E-1,9.523392320E-1,-4.218221307E-1,2.084863186E0,2.330566117E0
2.360766250E-1,1.014440417E0,-9.288327694E-1,2.241236448E0,2.629631246E0
2.460446250E-1,1.068849802E0,-1.513261914E0,2.337469339E0,2.982643866E0
2.560116250E-1,8.848769665E-1,-2.247188807E0,2.240920305E0,3.294630266E0
2.659786250E-1,3.796625137E-1,-3.099170685E0,1.848309994E0,3.628395291E0
2.759466250E-1,-1.305178702E-1,-3.814430952E0,1.298846483E0,4.031615134E0
2.859136250E-1,-4.081340432E-1,-3.967174530E0,6.410702467E-1,4.039309125E0
2.958816250E-1,1.529563665E-1,-2.166017532E0,-9.456587583E-2,2.173469647E0
3.058486250E-1,1.032136917E0,1.169125080E0,-5.000686049E-1,1.637751104E0
3.158156250E-1,1.686814785E0,3.236734152E0,-6.737865210E-1,3.711573839E0
3.257836250E-1,1.905128837E0,4.255784988E0,-8.833951354E-1,4.745693702E0
3.357506250E-1,1.883342028E0,4.402661800E0,-1.043185949E0,4.900882068E0
3.457176250E-1,2.143715620E0,3.959453106E0,-1.135527849E0,4.643512577E0
3.556856250E-1,2.549113274E0,3.046042442E0,-1.229432344E0,4.157866873E0
3.656526250E-1,2.918302298E0,1.776805758E0,-1.196382523E0,3.620063279E0
3.756206250E-1,2.688697815E0,1.689279079E0,-7.357012630E-1,3.259450275E0
3.855876250E-1,2.144577265E0,1.114903927E0,2.957359254E-1,2.435093868E0
3.955546250E-1,6.831779480E-1,2.781658173E-1,2.762142658E0,2.858940432E0
4.055226250E-1,-1.094425321E0,-9.653077126E-1,5.305325985E0,5.502369450E0
4.154896250E-1,-1.954137564E0,-1.422873378E0,6.343156815E0,6.788141177E0
4.254576250E-1,-1.363964081E0,6.794713736E-1,6.058124065E0,6.246834923E0
4.354246250E-1,-6.277772784E-1,2.626621008E0,5.237166882E0,5.892466307E0
4.453916250E-1,-2.179330140E-1,3.455483437E0,4.449074745E0,5.637563895E0
4.553596250E-1,-2.150868066E-2,3.337930441E0,3.738462687E0,5.011820578E0
4.653266250E-1,7.525753975E-2,2.631025791E0,3.096066713E0,4.063691610E0
4.752946250E-1,1.880123913E-1,1.556793571E0,2.459636211E0,2.916978775E0
4.852616250E-1,3.109676242E-1,3.601146936E-1,1.821013212E0,1.882145737E0
4.952286250E-1,3.531352282E-1,-7.520717382E-1,1.319152117E0,1.558999261E0
5.051966250E-1,2.827840745E-1,-1.684893489E0,1.035237551E0,1.997636025E0
5.151636250E-1,9.295529127E-2,-2.336565495E0,9.915257096E-1,2.539941383E0
5.251316250E-1,-1.938445121E-1,-2.594198942E0,1.112741113E0,2.829423374E0
5.350986250E-1,-4.886876047E-1,-2.436483622E0,1.296556711E0,2.802914076E0
5.450656250E-1,-7.244657874E-1,-1.805923939E0,1.401238084E0,2.397849061E0
5.550336250E-1,-9.436950088E-1,-7.413397431E-1,1.357336402E0,1.811769023E0
5.650006250E-1,-1.003657818E0,6.375518441E-1,1.186564445E0,1.679802534E0
5.749676250E-1,-8.929011822E-1,2.055918694E0,9.330864549E-1,2.427905379E0
5.849356250E-1,-6.052656770E-1,3.140975475E0,6.474730968E-1,3.263632162E0
5.949026250E-1,9.391217493E-3,3.440189600E0,2.826375365E-1,3.451793252E0
6.048706250E-1,8.184467554E-1,2.970160723E0,-1.234370098E-1,3.083333668E0
6.148376250E-1,1.461531520E0,2.253084898E0,-4.458189905E-1,2.722355692E0
6.248046250E-1,1.723604083E0,1.738825083E0,-6.685298085E-1,2.537962925E0
6.347726250E-1,1.728559494E0,1.436914086E0,-7.926616669E-1,2.383474886E0
6.447396250E-1,1.563724995E0,1.290002346E0,-8.717812896E-1,2.206659133E0
6.547076250E-1,1.338218689E0,1.341218829E0,-9.418066740E-1,2.115820649E0
6.646746250E-1,1.157220602E0,1.459954023E0,-1.109822989E0,2.168486186E0
6.746416250E-1,1.019434452E0,1.644721031E0,-1.284647346E0,2.322643467E0
6.846096250E-1,1.051208973E0,1.633334994E0,-1.297923684E0,2.336114166E0
6.945766250E-1,1.369237900E0,1.095281363E0,-1.076402187E0,2.057448750E0
7.045446250E-1,1.686936617E0,3.637411296E-1,-6.926406622E-1,1.859519789E0
7.145116250E-1,1.825690866E0,-2.725328207E-1,-2.551510632E-1,1.863470778E0
7.244786250E-1,1.757040262E0,-7.333449125E-1,1.688039601E-1,1.911407864E0
7.344466250E-1,1.548289061E0,-1.075674534E0,4.948188663E-1,1.949133251E0
7.444136250E-1,1.288009286E0,-1.357972264E0,6.845770478E-1,1.992913025E0
7.543816250E-1,1.059898019E0,-1.561677337E0,7.589747906E-1,2.034272019E0
7.643486250E-1,8.847586513E-1,-1.619649053E0,8.036266565E-1,2.012927402E0
7.743166250E-1,7.775062919E-1,-1.500514388E0,9.050180316E-1,1.917059493E0
