Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.01192975,-0.017369593,0.021145027,0.004532062,0.02773724
0.02186375,-0.019365365,0.02892039,0.009401119,0.036052563
0.03179775,-0.019923668,0.027872216,0.012589909,0.036500942
0.04173175,-0.02421695,0.024511572,0.0142424,0.037284364
0.05166575,-0.02831506,0.012812221,0.018407701,0.036121172
0.06159975,-0.029646641,0.006660585,0.015540542,0.034129095
0.07153375,-0.022949109,0.009968253,0.012562555,0.02799724
0.08146775,-0.01787925,0.011744846,0.009639736,0.02346345
0.09140175,-0.0092891,0.010131543,0.00463353,0.014505348
0.10133675,0.000541693,0.004873664,0.003721663,0.006156039
0.11127075,-0.0004381,0.007344917,0.00428876,0.008516642
0.12120475,-0.001637588,0.01213621,0.003047461,0.012619679
0.13113875,-0.001866763,0.011763139,0.000697225,0.011930732
0.14107275,-0.004893445,0.008753767,-0.002054886,0.010237031
0.15100675,-0.006518754,0.013269959,-0.000326536,0.014788258
0.16094075,-0.008131031,0.014842022,-0.002696749,0.017136853
0.17087475,-0.005751339,0.011509543,-0.003802109,0.013416539
0.18080875,0.000708158,0.01121553,-0.001987697,0.011412298
0.19074275,0.003002369,0.007172285,-0.001239127,0.007873457
0.20067675,0.005098276,0.001042487,0.00692639,0.008663376
0.21061075,0.005390617,-0.01112753,0.018526021,0.022273171
0.22054475,0.012721768,-0.027782673,0.01030804,0.032248659
0.23047975,0.025035497,-0.025126455,0.016835179,0.039262426
0.24041375,0.022388048,-0.007517101,0.016601354,0.028867568
0.25034775,0.016081754,0.00909408,0.017891387,0.02571822
0.26028175,0.014291312,0.006051419,0.015055122,0.021622163
0.27021575,0.014700746,0.001849362,0.013829915,0.020268168
0.28014975,0.017583618,0.001922332,0.008537414,0.019640937
0.29008375,0.018807482,0.007413545,0.006383678,0.021199844
0.30001775,0.022950295,0.016233934,0.004554353,0.028478041
0.30995175,0.024711641,0.021940231,0.001753542,0.033092504
0.31988575,0.021193072,0.018322859,0.001457665,0.028053489
0.32981975,0.023849646,0.00277059,0.00595917,0.024738502
0.33975375,0.020291395,-0.008901512,0.011129964,0.024796245
0.34968775,0.019796152,-0.010270421,0.01222114,0.025430797
0.35962275,0.017498642,-0.00485728,0.012002228,0.021768076
0.36955675,0.013069612,-0.003525452,0.004912359,0.014400515
0.37949075,0.016954366,0.001901804,0.002151194,0.017195785
