Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.003481125,0.235805616,0.231613651,-0.080810502,0.340263881
0.013415125,0.232150942,0.396312237,0.017986724,0.459653099
0.023349125,0.211696267,0.465408206,0.03510046,0.512496
0.033283125,0.175065249,0.324997157,0.077492014,0.377194917
0.043218125,0.112811729,0.129622057,0.137453616,0.220049677
0.053152125,0.046980001,0.078888923,0.206283733,0.225795397
0.063086125,-0.025814578,0.249556527,0.251473576,0.355223608
0.073020125,0.037622806,0.255482942,0.238500461,0.351524507
0.082954125,0.108117484,0.19878903,0.177260011,0.287450136
0.092888125,0.150084868,0.133273512,0.154027537,0.253005491
0.102822125,0.057030559,0.341639757,0.027025376,0.347419889
0.112756125,-0.091301233,0.372994065,-0.145184591,0.410535082
0.122690125,-0.20113185,0.594663858,-0.098120138,0.635379168
0.132624125,-0.202637881,0.66572684,-0.122284293,0.706546379
0.142558125,-0.209457979,0.635653138,-0.080707289,0.674122558
0.152492125,-0.248732105,0.514612019,-0.015527866,0.571781693
0.162426125,-0.29249692,0.373618394,0.014323239,0.474710762
0.172360125,-0.326537251,0.227592692,0.039284594,0.39996036
0.182294125,-0.333403677,0.07464122,0.034702361,0.343414585
0.192229125,-0.299977839,-0.06096356,0.007739567,0.306207708
0.202163125,-0.240659937,-0.154309228,-0.010101215,0.286060444
0.212097125,-0.20683603,-0.171835974,-0.025075182,0.270069454
0.222031125,-0.204440773,-0.142703131,-0.054545458,0.255216418
0.231965125,-0.179927051,-0.091031097,-0.074305885,0.214899439
0.241899125,-0.134446919,-0.036796086,-0.096813321,0.169713715
0.251833125,-0.059973862,-0.002467901,-0.115194499,0.129895063
0.261766333,0.014447907,0.043370426,-0.112011224,0.120980371
0.271700333,0.063708164,0.085669227,-0.095225699,0.14305901
0.281634333,0.077801883,0.104098834,-0.068461992,0.146890247
0.291568333,0.106661551,0.079204917,-0.056540586,0.144384705
0.301502333,0.116008975,0.030962555,-0.003210784,0.120112743
0.311436333,0.118814796,-0.089778572,0.085580952,0.171759271
0.321370333,0.105622828,-0.258417398,0.127460495,0.306890715
0.331304333,0.130721137,-0.331483036,0.127877757,0.378578578
0.341238333,0.175713107,-0.305576593,0.099112697,0.366163183
0.351173333,0.261539608,-0.250624061,0.063364439,0.367736915
0.361107333,0.314974606,-0.227341115,0.016819572,0.38881343
0.371041333,0.332154721,-0.265348881,-0.014253962,0.425370383
0.380975333,0.357965291,-0.325890779,-0.032977846,0.485212827
0.390909333,0.375888795,-0.425336272,-0.032896429,0.568582012
0.400843333,0.360290408,-0.534330189,-0.010631335,0.644539335
0.410777333,0.344483972,-0.631979048,0.003655268,0.719777803
0.420711333,0.283623278,-0.71095109,0.011028496,0.765516325
0.430645333,0.201257631,-0.715489209,-0.054703306,0.745266324
