Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.044339083,-2.337484837,-6.150982857,-1.80986917,6.824518436
0.054307083,-2.213820457,-5.674075603,-2.622955561,6.631442592
0.064275083,0.047898781,-2.718360662,-2.912341833,3.984157871
0.074243083,1.970245957,-0.073026977,-2.803720236,3.42754274
0.084211083,2.922606468,1.462099195,-2.459502935,4.090051016
0.094179083,3.262481213,2.273853302,-2.121777058,4.507341831
0.104147083,3.251420736,2.621085882,-1.868443012,4.575249424
0.114115083,3.067942142,2.788494825,-1.639424682,4.458215525
0.124083083,2.79112792,2.893830061,-1.395666599,4.255882135
0.134052083,2.406348228,2.890676498,-1.046043634,3.903937717
0.144020083,1.772165179,2.242581367,-0.544910491,2.909753951
0.153988083,0.744496167,0.854004979,0.143766761,1.142045502
0.163956083,-0.101347014,0.154808268,0.668373287,0.693512558
0.173924083,-0.808508635,-0.116667718,0.936697125,1.242859233
0.183892083,-1.460277438,-0.313418865,1.044741869,1.822670336
0.193860083,-2.017763138,-0.528328419,1.065046191,2.341969767
0.203828083,-2.458196878,-0.747611225,1.027334571,2.767141261
0.213796083,-2.778590441,-0.935395598,0.952884257,3.082777671
0.223764083,-2.966471195,-1.089308977,0.903416038,3.286747014
0.233732083,-3.009098053,-1.174711823,0.853121698,3.341023136
0.243700083,-2.947738171,-1.202898502,0.799436927,3.282563713
0.253668083,-2.567870378,-1.288737774,0.81413132,2.986237287
0.263636083,-1.872950196,-1.422040701,0.855624676,2.502445959
0.273605083,-1.127068758,-1.433692098,0.78773576,1.986525772
0.283573083,-0.516850471,-1.375957966,0.606085539,1.589885032
0.293541083,-0.100275353,-1.375061393,0.318007827,1.414912703
0.303509083,0.1543753,-1.406723261,-0.028048664,1.4154465
0.313477083,0.338485748,-1.469964027,-0.361064166,1.551042931
0.323445083,0.514629662,-1.473567724,-0.628771782,1.682735713
0.333413083,0.671942949,-1.293110371,-0.76355511,1.64519244
0.343381083,0.782296658,-0.905461669,-0.776967883,1.426719309
0.353349083,0.854496658,-0.393121749,-0.692907989,1.168259701
0.363317083,0.894080818,0.166504279,-0.551206529,1.063453253
0.373285083,0.888768315,0.695755422,-0.390996099,1.194513572
0.383253083,0.833066463,1.135925174,-0.24846907,1.43040645
0.393221083,0.727049053,1.43738246,-0.175515205,1.620331524
0.403189083,0.594372988,1.584617496,-0.167277515,1.700668581
0.413158083,0.477943957,1.58189559,-0.222486094,1.667430402
0.423126083,0.371085167,1.47130549,-0.309734702,1.548670278
0.433094083,0.288909495,1.287113309,-0.424336404,1.385709475
0.443062083,0.260975599,1.027396083,-0.515456975,1.17870559
0.453030083,0.261959881,0.729766607,-0.569510639,0.962041916
0.462998083,0.262816101,0.494821489,-0.568868816,0.798456222
0.472966083,0.273182303,0.380658031,-0.504295707,0.688362743
0.482934083,0.298152089,0.396839917,-0.406115592,0.641331787
0.492902083,0.354255944,0.507184863,-0.282248765,0.679998621
0.502870083,0.463056475,0.701478183,-0.175177157,0.858591857
0.512838083,0.600851238,0.968015134,-0.126352057,1.146315992
0.522806083,0.701063335,1.228827834,-0.143087894,1.421964061
0.532774083,0.756016016,1.46468246,-0.19676128,1.659990942
0.542743083,0.803819239,1.7003299,-0.247998372,1.89703725
0.552711083,0.849305272,1.892640471,-0.28098008,2.093408036
0.562679083,0.900214791,2.00974226,-0.297172368,2.222107567
0.572647083,1.14537096,2.253663301,-0.356100082,2.552974771
0.582615083,1.614486217,2.535974026,-0.466973603,3.042333702
0.592583083,2.015267134,2.561286211,-0.499721944,3.297151907
0.602551083,2.21959281,2.295271873,-0.378659159,3.215314599
0.612518958,2.178333759,1.743237734,-0.169855282,2.795150547
0.622486958,1.865101337,0.901075542,0.020259535,2.071460977
0.632454958,1.344422221,-0.07729654,0.175664335,1.35805148
0.642422958,0.769655704,-0.950155795,0.30711183,1.260747244
0.652390958,0.245140702,-1.618734956,0.453821152,1.698926267
0.662358958,-0.132830828,-2.038981915,0.613262713,2.133350049
0.672327958,-0.331892103,-2.179142952,0.757754266,2.330881357
0.682295958,-0.363936841,-2.042204857,0.862920105,2.246704656
0.692263958,-0.226413175,-1.62725389,0.926011384,1.885925564
0.702231958,0.096006416,-0.904127955,0.961502016,1.323310514
0.712199958,0.484434694,-0.008048048,0.952448308,1.068596989
0.722167958,0.808863401,0.867427528,0.891052604,1.48346394
0.732135958,0.979777336,1.570223331,0.750513852,1.997207045
0.742103958,0.986085832,1.957373023,0.519581556,2.252474065
0.752071958,0.831947625,1.945993185,0.305420876,2.138295639
0.762039958,0.593673825,1.560508013,0.193269312,1.680769733
0.772007958,0.379477262,1.041577339,0.207110897,1.127732801
0.781976958,0.268684447,0.627490103,0.308880121,0.749227663
0.791944958,0.249149203,0.44177413,0.386560172,0.637705633
0.801912958,0.269391894,0.45275569,0.341945827,0.628081727
0.811880958,0.27424711,0.571872115,0.161459759,0.654460424
0.821848958,0.235502392,0.6167472,-0.049749956,0.662052524
0.831816958,0.146730155,0.50597918,-0.185870588,0.558652436
0.841784958,-0.012773748,0.370053858,-0.25515753,0.449675874
0.851752958,-0.244023621,0.278327435,-0.285574734,0.467511088
0.861720958,-0.509095788,0.275717288,-0.313085705,0.658195414
0.871688958,-0.770246446,0.283858687,-0.313091278,0.878567863
0.881656958,-1.004153252,0.129807606,-0.325062454,1.063409313
0.891625958,-1.193127632,-0.043899324,-0.453108072,1.277022953
0.901593958,-1.34389019,-0.076085754,-0.584397137,1.467429691
0.911561958,-1.53981173,-0.104701005,-0.714839518,1.700875657
0.921529958,-1.864400983,-0.227473542,-0.902750015,2.083912865
0.931497958,-2.295260906,-0.486102313,-1.180655956,2.626493208
0.941465958,-2.690507412,-0.807011068,-1.500163078,3.184428718
0.951433958,-2.92164278,-1.120356202,-1.797597408,3.608677181
0.961401958,-2.983775616,-1.38724196,-1.999948382,3.850603941
0.971369958,-2.96064806,-1.593490481,-2.076231956,3.951631054
0.981337958,-2.879828215,-1.73359859,-2.037096977,3.930462913
0.991306958,-2.735957146,-1.762429476,-1.914165139,3.775665152
1.001274958,-2.540790081,-1.648308516,-1.736254334,3.491004771
1.011242958,-2.307266474,-1.392267466,-1.485539675,3.077127784
1.021210958,-2.060986519,-0.957448006,-1.154698372,2.549058737
1.031178958,-1.827688456,-0.293844759,-0.756166816,1.99964449
1.041146958,-1.65110302,0.518255889,-0.361045301,1.767790728
1.051114958,-1.588364005,1.373712182,-0.046657212,2.100514762
1.061082958,-1.669993281,2.121273756,0.105903566,2.701831874
1.071050958,-1.920005679,2.60924983,0.069987223,3.240293921
1.081019958,-2.319749832,2.61901927,-0.134306788,3.501219721
1.090987958,-2.709536552,2.02375555,-0.480107576,3.415798317
1.100955958,-2.831604719,1.004658461,-0.797370255,3.108556455
1.110923958,-2.56751895,-0.090658702,-1.001422524,2.75739363
1.120891958,-2.016680241,-0.990369618,-1.005720139,2.46156539
1.130859958,-1.316922307,-1.616207361,-0.963504672,2.296682793
1.140827958,-0.588211417,-1.997130275,-1.032035589,2.323708128
1.150795958,-0.034930255,-2.03673768,-1.252079964,2.39107188
1.160763958,0.188193366,-1.612241268,-1.614473343,2.289380446
1.170732958,0.025667997,-0.884283364,-2.041100025,2.224568548
1.180700958,-0.228993058,-0.300760031,-2.383170605,2.412964266
1.190668958,-0.393593729,0.024567338,-2.593380928,2.623193515
1.200636958,-0.530747354,-0.026350969,-2.634009361,2.687078794
1.210604958,-0.657215774,-0.369922012,-2.484321117,2.596271612
1.220572958,-0.759653986,-0.897546709,-2.182006359,2.47867223
1.230540958,-0.80646503,-1.483029485,-1.75483191,2.434994318
1.240508958,-0.802010119,-1.992375374,-1.223442316,2.471758678
1.250476958,-0.74743396,-2.132801533,-0.718785226,2.371529486
1.260445958,-0.628632247,-1.854291439,-0.362707257,1.991263869
1.270413958,-0.439052969,-1.424245954,-0.170985788,1.500160053
1.280381958,-0.224230677,-1.039434314,-0.048416995,1.064446943
1.290349958,-0.004969968,-0.81129849,0.036583778,0.812138112
1.300317958,0.232891858,-0.76113224,0.101113766,0.802362074
1.310285958,0.492421597,-0.828202188,0.155201316,0.975953555
