Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.024623875,-0.000335753,-0.012327028,0.004351383,0.013076807
0.034557875,-0.001358141,-0.019979622,0.008560242,0.021778604
0.044491875,-0.006548527,-0.015662655,0.005557813,0.017863126
0.054424875,-0.004148752,-0.011638353,0.007432679,0.014419019
0.064358875,-0.003550455,-0.003868296,0.006257674,0.008168716
0.074292875,8.71564E-05,-0.003669358,0.004461371,0.005777163
0.084226875,-0.001135392,-0.014415899,0.005312139,0.015405391
0.094159875,0.010152948,-0.019097472,0.003409843,0.021895726
0.104093875,0.017381573,-0.020962346,0.007554651,0.028259721
0.114027875,0.015135996,-0.013518012,0.005432112,0.021008162
0.123961875,0.00477984,-0.00126087,0.007663897,0.009119867
0.133894875,0.000682567,-0.000815856,0.010709755,0.010762452
0.143828875,0.003026869,-0.005813487,0.009412472,0.011469664
0.153762875,0.00529242,-0.014868502,0.01157922,0.019574483
0.163696875,0.007417616,-0.023177167,0.014044911,0.02809736
0.173629875,0.009136153,-0.02413564,0.010257363,0.027770702
0.183563875,0.00973697,-0.02378796,0.013044491,0.028824198
0.193497875,0.012133814,-0.028401887,0.005715739,0.031409653
0.203431875,0.019263476,-0.022821251,0.003878176,0.0301153
0.213364875,0.022448618,-0.025979495,-0.005147276,0.034718425
0.223298875,0.018733369,-0.024453785,-0.002856678,0.030936828
0.233232875,0.003226048,-0.01479157,-0.001292337,0.015194343
0.243166875,-0.004713076,-0.016144687,0.00194923,0.01693114
0.253100875,-0.009034587,-0.027037017,0.005468065,0.02902626
0.263033875,-0.004028148,-0.035875022,0.011328122,0.037836088
0.272967875,-0.003499244,-0.027399777,0.012504706,0.030320952
0.282901875,0.000280157,-0.010986604,0.012949875,0.016984793
0.292835875,0.006209418,-0.004397943,0.013181836,0.015220367
0.302768875,0.015484331,-0.00432465,0.009188369,0.018517376
0.312702875,0.020067897,-0.013485125,0.002561892,0.024313214
0.322636875,0.024751993,-0.027428918,0.004264732,0.037191324
0.332570875,0.017895153,-0.039753228,0.004278581,0.043804816
0.342503875,0.014471084,-0.05913163,0.0060913,0.0611806
0.352437875,0.015299592,-0.086641014,0.010467141,0.08860194
0.362371875,0.014806605,-0.109498166,0.010096733,0.110955071
0.372305875,0.015908355,-0.114210628,0.005602648,0.115449266
0.382238875,0.017730871,-0.104210481,0.003006351,0.105750869
0.392172875,0.029104166,-0.093117617,-0.003217723,0.097612995
0.402106875,0.044470746,-0.084921718,-0.007929136,0.096188443
0.412040875,0.061862517,-0.090553239,-0.009024228,0.110037706
0.421973875,0.074289791,-0.106672928,-0.001934785,0.130007038
0.431907875,0.075390212,-0.124572031,0.008822522,0.145875673
0.441841875,0.063503802,-0.13755554,0.016390216,0.152390612
0.451775875,0.055418719,-0.161383897,0.025984254,0.172601211
0.461708875,0.050311223,-0.18008177,0.030199053,0.189400754
0.471642875,0.050429467,-0.183545202,0.020011397,0.191395999
0.481576875,0.06517458,-0.190166906,0.011869584,0.201375432
0.491510875,0.087658048,-0.198665306,-0.003758644,0.217177265
0.501443875,0.101511486,-0.197509035,-0.01751673,0.222758247
0.511377875,0.104308337,-0.180460274,-0.01870157,0.209274672
0.521311875,0.096256971,-0.159424454,-0.008452447,0.186421578
0.531245875,0.07994245,-0.16277577,0.009696996,0.181606107
0.541179875,0.059912492,-0.189479634,0.037195802,0.202177066
0.551112875,0.037009042,-0.216242537,0.06688685,0.229356392
0.561046875,0.023768518,-0.219688743,0.094242126,0.240228359
0.570980875,0.022828421,-0.211546928,0.115193211,0.241956019
0.580914875,0.024525035,-0.188032895,0.131233513,0.23060807
0.590847875,0.021329775,-0.158191383,0.138467729,0.211312056
0.600781875,0.023679826,-0.112249501,0.141053438,0.181815173
0.610715875,0.033617679,-0.062774889,0.146249801,0.162664807
0.620649875,0.039494447,-0.037838288,0.148774654,0.158510078
0.630582875,0.038867272,-0.053277962,0.150480941,0.164297656
0.640516875,0.050515205,-0.076014496,0.141103745,0.168048375
0.650450875,0.058299892,-0.093920261,0.133919328,0.173649876
0.660384875,0.050659548,-0.073412322,0.124690145,0.153308157
0.670317875,0.033116508,-0.031538639,0.126786843,0.134782389
0.680251875,0.011748491,0.022635767,0.126870617,0.129408495
0.690185875,-0.006145288,0.075599112,0.125731856,0.146838312
0.700119875,-0.023097489,0.119663261,0.124341398,0.174107936
0.710052875,-0.034599148,0.138048127,0.136250526,0.197024344
0.719986875,-0.060597572,0.117486149,0.157574162,0.205681009
0.729920875,-0.086859003,0.058173563,0.189982697,0.21684574
0.739854875,-0.117382482,-0.00880047,0.224534616,0.253519011
0.749787875,-0.141436413,-0.048686367,0.260689974,0.300555958
0.759721875,-0.159308448,-0.061422613,0.288551629,0.335281913
0.769655875,-0.166004702,-0.07363081,0.306790829,0.356510407
0.779589875,-0.157245591,-0.096947357,0.316894621,0.366806716
0.789522875,-0.142602473,-0.146278948,0.320828646,0.380347231
0.799456875,-0.140971988,-0.225772887,0.317093194,0.413998299
0.809390875,-0.158940062,-0.323426753,0.326615334,0.486358288
0.819324875,-0.20812954,-0.411790788,0.347197413,0.57743883
0.829257875,-0.293356806,-0.500678301,0.368545562,0.687432039
0.839191875,-0.411785215,-0.580294192,0.379041791,0.806214048
0.849125875,-0.552802801,-0.611858487,0.373754621,0.905347592
0.859059875,-0.701813757,-0.586599588,0.350150555,0.979411578
0.868992875,-0.856915236,-0.489173949,0.293215096,1.02935415
0.878926875,-1.014311671,-0.33977136,0.214500517,1.091001015
0.888860875,-1.191720009,-0.174883083,0.138901904,1.212466252
0.898794875,-1.409255743,0.03072896,0.043322619,1.410256313
0.908727875,-1.657538533,0.31235984,-0.1047462,1.689962847
0.918661875,-1.8905828,0.629190087,-0.324625939,2.018802984
0.928595875,-2.039221287,1.109240055,-0.631505966,2.405750765
0.938529875,-1.931779265,1.53653729,-0.932070315,2.638460355
0.948462875,-1.567090988,1.626206279,-1.139518857,2.52958974
0.958396875,-1.259501457,1.383061051,-1.247939944,2.2486787
0.968330875,-1.264426351,0.685177088,-1.262580752,1.913727199
0.978264875,-1.557205081,-0.400293052,-1.096271396,1.94600441
